khipu_id,cord_id,numeric_value,confidence,num_clusters,validation_notes
1000000,3000001,,0.0,0,No knots found
1000000,3000002,,0.0,0,No knots found
1000000,3000003,74.0,1.0,2,Decoded 2/2 knots
1000000,3000004,1.0,1.0,1,Decoded 1/1 knots
1000000,3000005,,0.0,0,No knots found
1000000,3000006,10.0,1.0,1,Decoded 1/1 knots
1000000,3000007,1.0,1.0,1,Decoded 1/1 knots
1000000,3000008,,0.0,0,No knots found
1000000,3000009,84.0,1.0,2,Decoded 3/3 knots
1000000,3000010,20.0,1.0,1,Decoded 2/2 knots
1000000,3000011,,0.0,0,No knots found
1000000,3000012,,0.0,0,No knots found
1000000,3000013,,0.0,0,No knots found
1000000,3000014,81.0,1.0,1,Decoded 1/1 knots
1000000,3000015,,0.0,0,No knots found
1000000,3000016,4.0,1.0,1,Decoded 1/1 knots
1000000,3000017,9.0,1.0,1,Decoded 1/1 knots
1000000,3000018,64.0,1.0,1,Decoded 1/1 knots
1000001,3000019,200.0,1.0,1,Decoded 2/2 knots
1000001,3000020,99.0,1.0,2,Decoded 10/10 knots
1000001,3000021,120.0,1.0,2,Decoded 3/3 knots
1000001,3000022,10.0,1.0,1,Decoded 1/1 knots
1000001,3000023,124.0,1.0,2,Decoded 7/7 knots
1000001,3000024,25.0,1.0,1,Decoded 1/1 knots
1000002,3000025,224.0,1.0,3,Decoded 5/5 knots
1000002,3000026,40.0,1.0,1,Decoded 4/4 knots
1000002,3000027,425.0,1.0,2,Decoded 5/5 knots
1000002,3000028,1549.0,1.0,4,Decoded 11/11 knots
1000002,3000029,5016.0,1.0,2,Decoded 6/6 knots
1000002,3000030,2764.0,1.0,3,Decoded 10/10 knots
1000002,3000031,416.0,1.0,2,Decoded 5/5 knots
1000002,3000032,1016.0,1.0,2,Decoded 2/2 knots
1000002,3000033,,0.0,0,No knots found
1000002,3000034,816.0,1.0,2,Decoded 9/9 knots
1000002,3000035,1036.0,1.0,2,Decoded 2/2 knots
1000002,3000036,836.0,1.0,2,Decoded 9/9 knots
1000002,3000037,,0.0,0,No knots found
1000002,3000038,136.0,1.0,2,Decoded 2/2 knots
1000002,3000039,149.0,1.0,2,Decoded 2/2 knots
1000002,3000040,100.0,1.0,1,Decoded 1/1 knots
1000002,3000041,316.0,1.0,2,Decoded 4/4 knots
1000002,3000042,4649.0,1.0,3,Decoded 11/11 knots
1000002,3000043,1036.0,1.0,2,Decoded 2/2 knots
1000002,3000044,616.0,1.0,2,Decoded 7/7 knots
1000002,3000045,761.0,1.0,3,Decoded 14/14 knots
1000002,3000046,69.0,1.0,2,Decoded 3/3 knots
1000002,3000047,141.0,1.0,2,Decoded 7/7 knots
1000002,3000048,3964.0,1.0,3,Decoded 13/13 knots
1000002,3000049,5.0,1.0,2,Decoded 2/2 knots
1000002,3000050,249.0,1.0,2,Decoded 3/3 knots
1000002,3000051,30.0,1.0,1,Decoded 3/3 knots
1000002,3000052,9.0,1.0,1,Decoded 1/1 knots
1000002,3000053,2.0,1.0,1,Decoded 2/2 knots
1000002,3036578,195.0,1.0,3,Decoded 9/9 knots
1000003,3000054,,0.0,0,No knots found
1000003,3000055,,0.0,0,No knots found
1000003,3000056,4029.0,1.0,3,Decoded 7/7 knots
1000003,3000057,219.0,1.0,3,Decoded 4/4 knots
1000003,3000058,159.0,1.0,3,Decoded 3/3 knots
1000003,3000059,95.0,1.0,2,Decoded 8/8 knots
1000003,3000060,100.0,1.0,1,Decoded 1/1 knots
1000003,3000061,10.0,1.0,1,Decoded 1/1 knots
1000003,3000062,20.0,1.0,1,Decoded 2/2 knots
1000003,3000063,81.0,1.0,3,Decoded 13/13 knots
1000003,3000064,2121.0,1.0,3,Decoded 7/7 knots
1000003,3000065,1066.0,1.0,3,Decoded 5/5 knots
1000003,3000066,70.0,1.0,1,Decoded 7/7 knots
1000003,3000067,91.0,1.0,2,Decoded 2/2 knots
1000003,3000068,36.0,1.0,1,Decoded 1/1 knots
1000003,3000069,11.0,1.0,2,Decoded 2/2 knots
1000003,3000070,101.0,1.0,2,Decoded 3/3 knots
1000003,3000071,9074.0,1.0,3,Decoded 11/11 knots
1000003,3000072,49.0,1.0,1,Decoded 1/1 knots
1000003,3000073,3049.0,1.0,3,Decoded 8/8 knots
1000003,3000074,200.0,1.0,1,Decoded 2/2 knots
1000003,3000075,2079.0,1.0,3,Decoded 10/10 knots
1000003,3000076,115.0,1.0,2,Decoded 10/10 knots
1000003,3000077,46.0,1.0,2,Decoded 2/2 knots
1000003,3000078,31.0,1.0,2,Decoded 4/4 knots
1000003,3000079,16.0,1.0,1,Decoded 1/1 knots
1000003,3000080,36.0,1.0,1,Decoded 1/1 knots
1000003,3000081,101.0,1.0,2,Decoded 2/2 knots
1000003,3000082,68.0,1.0,3,Decoded 3/3 knots
1000003,3000083,,0.0,0,No knots found
1000003,3000084,,0.0,0,No knots found
1000003,3000085,45.0,1.0,2,Decoded 3/3 knots
1000003,3000086,56.0,1.0,2,Decoded 3/3 knots
1000003,3000087,36.0,1.0,2,Decoded 3/3 knots
1000003,3000088,,0.0,0,No knots found
1000003,3000089,26.0,1.0,3,Decoded 3/3 knots
1000003,3000090,,0.0,0,No knots found
1000003,3000091,1.0,1.0,1,Decoded 1/1 knots
1000004,3000092,,0.0,0,No knots found
1000004,3000093,9.0,1.0,1,Decoded 1/1 knots
1000004,3000094,46.0,1.0,2,Decoded 4/4 knots
1000004,3000095,24.0,1.0,2,Decoded 3/3 knots
1000004,3000096,,0.0,0,No knots found
1000004,3000097,84.0,1.0,2,Decoded 3/3 knots
1000004,3000098,34.0,1.0,2,Decoded 4/4 knots
1000004,3000099,25.0,1.0,1,Decoded 1/1 knots
1000004,3000100,9.0,1.0,1,Decoded 1/1 knots
1000004,3000101,84.0,1.0,2,Decoded 3/3 knots
1000004,3000102,49.0,1.0,1,Decoded 1/1 knots
1000004,3000103,11.0,1.0,2,Decoded 2/2 knots
1000004,3000104,4.0,1.0,1,Decoded 1/1 knots
1000004,3000105,4.0,1.0,1,Decoded 1/1 knots
1000004,3000106,11.0,1.0,2,Decoded 2/2 knots
1000004,3000107,81.0,1.0,1,Decoded 1/1 knots
1000004,3000108,16.0,1.0,1,Decoded 1/1 knots
1000004,3000109,14.0,1.0,2,Decoded 2/2 knots
1000004,3000110,4.0,1.0,1,Decoded 1/1 knots
1000004,3000111,26.0,1.0,2,Decoded 2/2 knots
1000004,3000112,16.0,1.0,1,Decoded 1/1 knots
1000004,3000113,9.0,1.0,1,Decoded 1/1 knots
1000004,3000114,1.0,1.0,1,Decoded 1/1 knots
1000004,3000115,10.0,1.0,1,Decoded 1/1 knots
1000004,3000116,9.0,1.0,1,Decoded 1/1 knots
1000004,3000117,4.0,1.0,1,Decoded 1/1 knots
1000004,3000118,4.0,1.0,1,Decoded 1/1 knots
1000004,3000119,,0.0,0,No knots found
1000004,3000120,4.0,1.0,1,Decoded 1/1 knots
1000004,3000121,27.0,0.9,3,Decoded 3/3 knots (2 issues)
1000004,3000122,21.0,1.0,2,Decoded 3/3 knots
1000004,3000123,60.0,1.0,1,Decoded 6/6 knots
1000004,3000124,10.0,1.0,1,Decoded 1/1 knots
1000004,3000125,20.0,1.0,1,Decoded 2/2 knots
1000004,3000126,46.0,1.0,2,Decoded 2/2 knots
